job_title,routine_task_pct,creativity_score,social_skill_score,education_level,annual_salary_usd,ai_tool_exposure,years_experience,industry,risk_level
Nurse,0.317,0.481,0.928,3,68123,0.294,0,4,0
Teacher,0.22,0.665,0.918,3,52640,0.119,11,6,0
Pharmacist,0.454,0.486,0.635,4,109102,0.674,7,4,1
Radiologist,0.521,0.481,0.573,4,310665,0.67,15,4,1
Nurse,0.418,0.472,0.877,2,79245,0.265,2,4,0
Truck Driver,0.679,0.163,0.253,1,40400,0.839,5,3,2
HR Manager,0.469,0.527,0.759,4,86041,0.547,4,9,1
Nurse,0.331,0.44,0.97,2,69227,0.361,12,4,0
Social Worker,0.25,0.518,0.888,3,54864,0.19,13,8,0
Nurse,0.37,0.441,0.842,3,74149,0.432,3,4,1
Truck Driver,0.687,0.171,0.289,1,44119,0.775,11,3,2
Social Worker,0.22,0.582,0.961,3,53365,0.137,6,8,0
Research Scientist,0.119,0.889,0.608,4,137368,0.392,4,5,0
Graphic Designer,0.351,0.86,0.491,2,50476,0.704,12,7,1
Radiologist,0.504,0.698,0.538,5,318889,0.642,12,4,1
Pharmacist,0.645,0.402,0.733,5,145821,0.556,8,4,1
Data Entry Clerk,0.922,0.028,0.197,1,31161,0.916,11,0,2
Research Scientist,0.236,0.886,0.628,4,132824,0.361,6,5,0
Warehouse Worker,0.849,0.026,0.164,1,31891,0.859,9,3,2
Graphic Designer,0.447,0.958,0.436,3,55581,0.696,7,7,1
Research Scientist,0.214,1.0,0.61,4,127067,0.466,10,5,0
Data Entry Clerk,0.863,0.02,0.148,1,32429,0.902,12,0,2
Cook / Chef,0.535,0.605,0.397,1,33737,0.417,9,11,1
Telemarketer,0.93,0.198,0.319,1,33261,0.9,1,1,2
Truck Driver,0.703,0.142,0.193,1,45828,0.839,12,3,2
Accountant,0.629,0.363,0.325,3,74774,0.706,8,2,2
Lawyer,0.413,0.803,0.802,5,117532,0.619,11,10,0
Accountant,0.614,0.389,0.314,2,75563,0.742,5,2,2
Customer Service Rep,0.801,0.196,0.554,1,34252,0.884,17,1,2
Pharmacist,0.488,0.396,0.63,5,129645,0.627,2,4,1
Truck Driver,0.677,0.176,0.3,1,47485,0.776,14,3,2
Radiologist,0.474,0.657,0.509,4,309019,0.709,10,4,1
Nurse,0.303,0.565,0.829,3,72454,0.259,10,4,0
Truck Driver,0.736,0.135,0.125,1,41135,0.778,8,3,2
Warehouse Worker,0.804,0.241,0.174,1,37230,0.853,10,3,2
Social Worker,0.208,0.595,0.876,5,40239,0.142,10,8,0
Data Entry Clerk,0.851,0.135,0.097,1,33535,0.944,1,0,2
Teacher,0.317,0.793,0.891,3,53217,0.348,7,6,0
Marketing Manager,0.354,0.818,0.849,4,84373,0.472,10,7,0
Pharmacist,0.637,0.413,0.673,5,108448,0.609,12,4,1
Social Worker,0.293,0.474,0.926,4,50060,0.197,5,8,0
Security Guard,0.807,0.119,0.342,1,32844,0.659,16,12,2
Accountant,0.717,0.479,0.379,3,74336,0.834,11,2,2
Pharmacist,0.63,0.424,0.662,5,139168,0.658,6,4,1
Nurse,0.307,0.437,0.919,3,81432,0.292,7,4,0
HR Manager,0.39,0.637,0.685,4,83993,0.528,10,9,1
Accountant,0.68,0.355,0.313,2,69528,0.773,8,2,2
Financial Analyst,0.659,0.54,0.517,3,97063,0.676,5,2,1
Lawyer,0.479,0.754,0.802,5,158467,0.51,4,10,0
Teacher,0.214,0.762,0.841,3,60102,0.279,11,6,0
HR Manager,0.371,0.66,0.871,3,64637,0.568,7,9,1
Accountant,0.724,0.363,0.371,3,73621,0.758,11,2,2
Radiologist,0.461,0.631,0.506,4,292847,0.653,9,4,1
Teacher,0.235,0.608,1.0,4,53658,0.328,8,6,0
Marketing Manager,0.31,0.869,0.862,4,82612,0.487,13,7,0
Security Guard,0.803,0.114,0.398,1,31745,0.741,16,12,2
Security Guard,0.734,0.143,0.44,1,36048,0.631,1,12,2
Radiologist,0.497,0.55,0.574,5,273881,0.694,7,4,1
Cook / Chef,0.484,0.679,0.495,1,40987,0.384,6,11,1
Security Guard,0.721,0.07,0.413,1,30762,0.784,17,12,2
Social Worker,0.167,0.428,1.0,4,46501,0.161,7,8,0
Data Entry Clerk,0.907,0.111,0.103,1,36104,0.948,8,0,2
Customer Service Rep,0.919,0.135,0.635,2,47083,0.936,7,1,2
Accountant,0.593,0.298,0.386,2,76148,0.809,8,2,2
Social Worker,0.158,0.428,0.819,3,48509,0.259,14,8,0
Lawyer,0.383,0.774,0.845,4,121310,0.62,2,10,0
Telemarketer,0.879,0.022,0.43,1,31340,0.786,11,1,2
Lawyer,0.359,0.765,0.795,5,117291,0.555,11,10,0
Teacher,0.325,0.695,0.895,4,59251,0.335,11,6,0
Software Engineer,0.346,0.732,0.566,5,100667,0.593,6,5,0
Warehouse Worker,0.92,0.219,0.188,1,47081,0.82,7,3,2
Radiologist,0.51,0.572,0.514,5,315018,0.758,9,4,1
Teacher,0.282,0.742,0.981,4,54672,0.216,10,6,0
HR Manager,0.465,0.653,0.849,4,74892,0.513,11,9,1
Data Entry Clerk,0.921,0.201,0.17,1,37902,0.839,8,0,2
Security Guard,0.796,0.0,0.304,1,34380,0.785,7,12,2
Truck Driver,0.758,0.193,0.179,1,47751,0.892,6,3,2
HR Manager,0.466,0.534,0.741,3,80942,0.538,4,9,1
Telemarketer,0.882,0.112,0.502,1,35782,0.918,7,1,2
Software Engineer,0.32,0.747,0.411,4,151722,0.59,8,5,1
Financial Analyst,0.607,0.594,0.529,4,87490,0.724,15,2,1
Security Guard,0.831,0.111,0.356,1,33421,0.827,10,12,2
Lawyer,0.341,0.774,0.689,4,140701,0.554,2,10,0
Telemarketer,0.802,0.13,0.447,1,27104,0.952,5,1,2
Financial Analyst,0.539,0.581,0.452,3,95006,0.708,5,2,1
Security Guard,0.759,0.112,0.341,1,29304,0.698,5,12,2
Teacher,0.151,0.742,0.964,4,49098,0.39,14,6,0
Truck Driver,0.699,0.167,0.185,1,50533,0.842,2,3,2
Data Entry Clerk,0.976,0.176,0.193,1,33164,0.974,3,0,2
Telemarketer,0.923,0.195,0.425,1,28615,0.87,6,1,2
Warehouse Worker,0.7,0.206,0.076,1,42999,0.762,11,3,2
Software Engineer,0.215,0.762,0.625,3,125668,0.608,4,5,0
Customer Service Rep,0.74,0.143,0.737,1,39131,0.933,2,1,2
Financial Analyst,0.572,0.487,0.487,4,100916,0.748,10,2,1
Warehouse Worker,0.702,0.133,0.27,1,36217,0.876,14,3,2
Nurse,0.444,0.521,0.915,3,71283,0.207,4,4,0
Financial Analyst,0.586,0.622,0.514,4,100139,0.707,10,2,1
Radiologist,0.493,0.445,0.543,4,324647,0.712,8,4,1
HR Manager,0.472,0.487,0.673,3,69841,0.411,11,9,1
Nurse,0.446,0.509,0.864,3,89594,0.335,13,4,0
Pharmacist,0.677,0.514,0.623,5,108460,0.597,11,4,1
Customer Service Rep,0.828,0.171,0.565,1,35445,0.948,6,1,2
Research Scientist,0.172,1.0,0.516,5,103011,0.464,6,5,0
Lawyer,0.358,0.811,0.833,5,140868,0.418,10,10,0
Social Worker,0.205,0.564,0.919,4,61494,0.132,6,8,0
Nurse,0.437,0.554,0.91,2,73989,0.339,6,4,0
Marketing Manager,0.184,0.728,0.736,4,90475,0.459,17,7,0
Nurse,0.31,0.46,0.93,3,93414,0.268,5,4,0
Graphic Designer,0.433,0.863,0.47,2,52946,0.591,11,7,1
Accountant,0.713,0.317,0.438,3,61086,0.827,15,2,2
Telemarketer,0.745,0.067,0.389,1,31779,0.891,8,1,2
Telemarketer,0.894,0.015,0.325,1,28957,0.858,7,1,2
Cook / Chef,0.519,0.663,0.449,1,42591,0.373,6,11,1
Telemarketer,0.943,0.186,0.408,1,37540,0.881,10,1,2
Cook / Chef,0.599,0.68,0.514,1,38699,0.432,7,11,1
Financial Analyst,0.609,0.564,0.491,3,103191,0.733,0,2,1
Teacher,0.295,0.619,1.0,4,59546,0.23,10,6,0
Lawyer,0.353,0.811,0.775,4,124739,0.532,8,10,0
Warehouse Worker,0.758,0.098,0.271,1,31520,0.919,12,3,2
Financial Analyst,0.573,0.517,0.613,3,74111,0.722,5,2,1
Financial Analyst,0.667,0.629,0.487,3,93911,0.732,3,2,1
Radiologist,0.6,0.547,0.565,4,331265,0.637,13,4,1
Lawyer,0.501,0.701,0.725,4,151144,0.426,10,10,1
Accountant,0.635,0.34,0.32,2,76364,0.676,9,2,2
Telemarketer,0.842,0.18,0.383,1,31446,0.866,17,1,2
Financial Analyst,0.57,0.597,0.526,3,94546,0.7,3,2,1
Research Scientist,0.271,0.91,0.661,5,99068,0.345,11,5,0
Warehouse Worker,0.833,0.184,0.205,1,35541,0.885,9,3,2
Marketing Manager,0.376,0.834,0.78,5,97992,0.599,13,7,0
Accountant,0.678,0.451,0.372,3,79740,0.868,6,2,2
Security Guard,0.781,0.066,0.349,2,36355,0.722,8,12,2
Warehouse Worker,0.807,0.018,0.122,1,36593,0.833,9,3,2
